time;logger;level;message;exception
2012-05-05 17:56:55.6573;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2012-05-05 17:56:55.9783;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-05-05 17:56:56.0023;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 because: PUT INDEX Raven/DocumentsByEntityName;
2012-05-05 17:56:56.0703;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work;
2012-05-05 17:56:56.1403;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 2 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000;
2012-05-05 17:56:58.0454;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 2 documents remained;
2012-05-05 17:56:58.9575;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 2 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0000-0000-000000000000;
2012-05-05 17:56:58.9575;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: Raven/DocumentsByEntityName. (Apresentação RavenDB ISEL,RavenDB/ISEL);
2012-05-05 17:57:04.1808;Raven.Database.Server.HttpServer;Debug;Request #   7: GET     -    14 ms - <default>  - 200 - /docs?pageSize=0&noCache=908959470;
2012-05-05 17:57:05.0498;Raven.Database.Server.HttpServer;Debug;Request #   8: GET     -     2 ms - <default>  - 200 - /license/status?noCache=-935346426;
2012-05-05 17:57:05.0858;Raven.Database.Server.HttpServer;Debug;Request #   9: GET     -   212 ms - <default>  - 200 - /stats?noCache=949295867;
2012-05-05 17:57:05.1458;Raven.Database.Server.HttpServer;Debug;Request #  10: GET     -    57 ms - <default>  - 200 - /build/version?noCache=569599382;
2012-05-05 17:57:05.2298;Raven.Database.Server.HttpServer;Debug;Request #  11: GET     -   179 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1510192092;
2012-05-05 17:57:05.3368;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on Apresentação RavenDB ISEL result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: apresentação ravendb isel
	Tag I-: Apresentaçãos
	LastModified I-: 20120505164713174
";
2012-05-05 17:57:05.3798;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on RavenDB/ISEL result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: ravendb/isel
	Tag I-: Apresentaçãos
	LastModified I-: 20120505165630477
";
2012-05-05 17:57:05.5279;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 6 documents for Raven/DocumentsByEntityName;
2012-05-05 17:57:05.5439;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 because: WORK BY IndexingExecuter;
2012-05-05 17:57:05.5439;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work;
2012-05-05 17:57:05.5439;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work;
2012-05-05 18:01:05.2176;Raven.Database.Indexing.WorkContext;Debug;Stopping background workers;
time;logger;level;message;exception
2012-05-05 18:03:58.8055;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 670040064
  PollingInterval     = 00:02:00";
2012-05-05 18:03:58.8245;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096";
2012-05-05 18:04:01.8597;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found;
2012-05-05 18:04:01.9227;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2012-05-05 18:04:01.9227;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2012-05-05 18:04:02.4287;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    27 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=256245731;
2012-05-05 18:04:06.5729;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -   134 ms - <default>  - 200 - /stats?noCache=1917023159;
2012-05-05 18:04:17.0005;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-05-05 18:04:17.0005;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     3 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-05-05 18:04:17.2115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'RavenDB/ISEL', update: False, ;
2012-05-05 18:04:17.2115;Raven.Database.DocumentDatabase;Debug;Put document RavenDB/ISEL with etag 00000000-0000-0100-0000-000000000001;
2012-05-05 18:04:17.2115;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 because: PUT RavenDB/ISEL;
2012-05-05 18:04:17.2115;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0275143;
2012-05-05 18:04:17.2115;Raven.Database.Server.HttpServer;Debug;Request #   4: POST    -    60 ms - <default>  - 200 - /bulk_docs;
2012-05-05 18:04:17.2225;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work;
2012-05-05 18:04:17.2225;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work;
2012-05-05 18:04:17.2225;Raven.Database.Server.HttpServer;Debug;"	PUT RavenDB/ISEL
";
2012-05-05 18:04:17.5956;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -    33 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=-1461971207;
2012-05-05 18:04:18.4406;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:18.4406;Raven.Database.Server.HttpServer;Debug;Request #   6: GET     -    11 ms - <default>  - 200 - /docs/RavenDB/ISEL;
2012-05-05 18:04:27.1601;Raven.Database.Server.HttpServer;Debug;Request #   7: GET     -     2 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=/&noCache=1200969525;
2012-05-05 18:04:28.0482;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:28.0482;Raven.Database.Server.HttpServer;Debug;Request #   8: GET     -    10 ms - <default>  - 200 - /docs/RavenDB/ISEL?noCache=798294698;
2012-05-05 18:04:28.1482;Raven.Database.Server.HttpServer;Debug;Request #   9: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=RavenDB/ISEL/&noCache=-570735220;
2012-05-05 18:04:29.0612;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:34.1165;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:40.1629;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
